YEAR,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2000,COMPACT,1.6,4,X,9.2,6.7,8.1,35,186
2000,COMPACT,1.6,4,X,8.5,6.5,7.6,37,175
2000,MID-SIZE,3.2,6,Z,12.2,7.4,10,28,230
2000,MID-SIZE,3.5,6,Z,13.4,9.2,11.5,25,264
2000,SUBCOMPACT,1.8,4,X,10,7,8.6,33,198
2000,SUBCOMPACT,1.8,4,X,9.3,6.8,8.2,34,189
2000,SUBCOMPACT,1.8,4,Z,9.4,7,8.3,34,191
2000,SUBCOMPACT,3,6,Z,13.6,9.2,11.6,24,267
2000,SUBCOMPACT,3.2,6,Z,13.8,9.1,11.7,24,269
2000,COMPACT,1.8,4,Z,11.4,7.2,9.5,30,218
2000,COMPACT,1.8,4,Z,9.7,6.8,8.4,34,193
2000,COMPACT,2.8,6,Z,13,8.2,10.8,26,248
2000,COMPACT,2.8,6,Z,11.7,7.5,9.8,29,225
2000,COMPACT,1.8,4,Z,12.1,7.7,10.1,28,232
2000,COMPACT,1.8,4,Z,10.7,7.5,9.3,30,214
2000,COMPACT,2.8,6,Z,13.3,8.5,11.1,25,255
2000,COMPACT,2.8,6,Z,12.7,8.7,10.9,26,251
2000,MID-SIZE,2.8,6,Z,13.4,8.6,11.2,25,258
2000,STATION WAGON - MID-SIZE,2.8,6,Z,13.8,9.1,11.7,24,269
2000,MID-SIZE,2.7,6,Z,13.6,9,11.5,25,264
2000,MID-SIZE,2.7,6,Z,13.6,9.1,11.6,24,267
2000,MID-SIZE,2.8,6,Z,13.8,9.1,11.7,24,269
2000,MID-SIZE,2.8,6,Z,13,9.2,11.3,25,260
2000,MID-SIZE,4.2,8,Z,13.9,9.1,11.7,24,269
2000,MID-SIZE,4.2,8,Z,13.9,9.1,11.7,24,269
2000,COMPACT,2.7,6,Z,13.6,9,11.5,25,264
2000,COMPACT,2.7,6,Z,13.6,9.1,11.6,24,267
2000,MINICOMPACT,1.8,4,Z,11.6,7.6,9.8,29,225
2000,MINICOMPACT,1.8,4,Z,11.6,7.7,9.8,29,225
2000,TWO-SEATER,1.8,4,Z,10.9,7.3,9.3,30,214
2000,TWO-SEATER,1.8,4,Z,11.6,7.7,9.8,29,225
2000,COMPACT,2.5,6,Z,13,8.9,11.2,25,258
2000,COMPACT,2.5,6,Z,12.4,8.6,10.7,26,246
2000,COMPACT,2.5,6,Z,12.3,7.8,10.3,27,237
2000,COMPACT,2.5,6,Z,11.5,7.5,9.7,29,223
2000,COMPACT,2.5,6,Z,12.3,7.8,10.3,27,237
2000,COMPACT,2.5,6,Z,11.5,7.5,9.7,29,223
2000,COMPACT,2.8,6,Z,12.4,7.9,10.4,27,239
2000,COMPACT,2.8,6,Z,11.5,7.5,9.7,29,223
2000,COMPACT,2.8,6,Z,12.4,7.9,10.4,27,239
2000,COMPACT,2.8,6,Z,11.5,7.5,9.7,29,223
2000,COMPACT,2.8,6,Z,13,8.4,10.9,26,251
2000,COMPACT,2.8,6,Z,11.5,7.5,9.7,29,223
2000,STATION WAGON - SMALL,2.8,6,Z,13,8.4,10.9,26,251
2000,STATION WAGON - SMALL,2.8,6,Z,12.9,8.3,10.8,26,248
2000,COMPACT,4.4,8,Z,13.1,8.8,11.2,25,258
2000,COMPACT,4.4,8,Z,14.7,9.1,12.2,23,281
2000,STATION WAGON - SMALL,4.4,8,Z,13.9,10.1,12.2,23,281
2000,MID-SIZE,4.4,8,Z,13.8,9.2,11.7,24,269
2000,FULL-SIZE,4.4,8,Z,13.8,9.2,11.7,24,269
2000,FULL-SIZE,5.4,12,Z,17.3,10.8,14.4,20,331
2000,TWO-SEATER,3.2,6,Z,12.4,8.5,10.6,27,244
2000,MINICOMPACT,3.2,6,Z,12.4,8.5,10.6,27,244
2000,COMPACT,4.9,8,Z,17.7,10.4,14.4,20,331
2000,SUV,4.4,8,Z,13.3,8.6,11.2,25,258
2000,SUBCOMPACT,2.5,6,Z,12.5,8.3,10.6,27,244
2000,SUBCOMPACT,2.5,6,Z,11.9,8,10.1,28,232
2000,SUBCOMPACT,2.8,6,Z,12.4,8.4,10.6,27,244
2000,SUBCOMPACT,2.8,6,Z,12.4,8.4,10.6,27,244
2000,TWO-SEATER,4.9,8,Z,17.4,11.1,14.6,19,336
2000,MID-SIZE,3.1,6,X,11.6,7.3,9.7,29,223
2000,FULL-SIZE,3.8,6,X,12.3,7.3,10,28,230
2000,FULL-SIZE,3.8,6,X,12.8,7.7,10.5,27,242
2000,FULL-SIZE,3.8,6,Z,13.5,8,11,26,253
2000,MID-SIZE,3.8,6,X,12,7.4,9.9,29,228
2000,MID-SIZE,3.8,6,Z,13.5,8,11,26,253
2000,MID-SIZE,3,6,Z,13.1,8.8,11.2,25,258
2000,FULL-SIZE,4.6,8,Z,13.9,8.1,11.3,25,260
2000,MID-SIZE,4.6,8,Z,13.9,8.1,11.3,25,260
2000,SUV,5.7,8,X,19.2,13.4,16.6,17,382
2000,MID-SIZE,4.6,8,Z,13.9,8.1,11.3,25,260
2000,VAN - CARGO,4.3,6,X,15.3,11.1,13.4,21,308
2000,VAN - PASSENGER,4.3,6,X,15.7,11.4,13.8,20,317
2000,VAN - CARGO,4.3,6,X,14.5,10.8,12.8,22,294
2000,VAN - PASSENGER,4.3,6,X,15.9,11.9,14.1,20,324
2000,SUV,4.3,6,X,14.5,10.8,12.8,22,294
2000,SUV,4.3,6,X,14.6,9.9,12.5,23,288
2000,SUV,4.3,6,X,15.2,11.1,13.4,21,308
2000,SUV,4.3,6,X,16.9,12.4,14.9,19,343
2000,PICKUP TRUCK - STANDARD,4.3,6,X,15.9,11.9,14.1,20,324
2000,PICKUP TRUCK - STANDARD,4.3,6,X,16.7,12.3,14.7,19,338
2000,PICKUP TRUCK - STANDARD,4.8,8,X,14.6,10.4,12.7,22,292
2000,PICKUP TRUCK - STANDARD,4.8,8,X,17.1,11,14.4,20,331
2000,PICKUP TRUCK - STANDARD,5.3,8,X,15,10.8,13.1,22,301
2000,PICKUP TRUCK - STANDARD,5.3,8,X,16.1,12,14.3,20,329
2000,PICKUP TRUCK - STANDARD,6,8,X,19.4,13.6,16.8,17,386
2000,SUBCOMPACT,3.8,6,X,12.4,7.5,10.2,28,235
2000,SUBCOMPACT,3.8,6,X,12.2,7.1,9.9,29,228
2000,SUBCOMPACT,5.7,8,Z,13.8,9.1,11.7,24,269
2000,SUBCOMPACT,5.7,8,Z,13.1,8.1,10.8,26,248
2000,SUBCOMPACT,2.2,4,X,10.2,6.9,8.7,32,200
2000,SUBCOMPACT,2.2,4,X,10.8,6.5,8.9,32,205
2000,SUBCOMPACT,2.4,4,X,11,7.4,9.4,30,216
2000,SUBCOMPACT,2.4,4,X,10.7,6.5,8.8,32,202
2000,SUBCOMPACT,2.2,4,X,10.4,7.5,9.1,31,209
2000,SUBCOMPACT,5.7,8,Z,13.9,9.1,11.7,24,269
2000,SUBCOMPACT,5.7,8,Z,12.8,7.9,10.6,27,244
2000,VAN - CARGO,4.3,6,X,16,11.9,14.2,20,327
2000,VAN - CARGO,5,8,X,16.4,11.8,14.3,20,329
2000,VAN - CARGO,5.7,8,X,17.4,12.7,15.3,18,352
2000,VAN - PASSENGER,4.3,6,X,16.5,12.2,14.6,19,336
2000,VAN - PASSENGER,5,8,X,16.7,12.3,14.7,19,338
2000,VAN - PASSENGER,5.7,8,X,18.7,13.6,16.4,17,377
2000,FULL-SIZE,3.4,6,X,12.1,7.2,9.9,29,228
2000,FULL-SIZE,3.8,6,X,12,7.4,9.9,29,228
2000,PICKUP TRUCK - STANDARD,4.3,6,X,15.3,11.1,13.4,21,308
2000,PICKUP TRUCK - STANDARD,4.3,6,X,16.9,12.4,14.9,19,343
2000,PICKUP TRUCK - STANDARD,4.8,8,X,15.6,12,14,20,322
2000,PICKUP TRUCK - STANDARD,4.8,8,X,18.2,12.5,15.6,18,359
2000,PICKUP TRUCK - STANDARD,5.3,8,X,16.2,12.3,14.4,20,331
2000,SUV,5.7,8,X,19.1,13.6,16.6,17,382
2000,MID-SIZE,3.4,6,X,12.1,7.2,9.9,29,228
2000,MID-SIZE,3.8,6,X,12,7.4,9.9,29,228
2000,MID-SIZE,3.1,6,X,11.6,7.3,9.7,29,223
2000,SUBCOMPACT,1,3,X,6,4.5,5.3,53,122
2000,SUBCOMPACT,1.3,4,X,7.8,6.2,7.1,40,163
